Country,Year,Population
US,2011,311580009
US,2012,313874218
US,2013,316234505
US,2014,318622525
US,2015,321039839
Australia,2011,22340024
Australia,2012,22733465
Australia,2013,23128129
Australia,2014,23475686
Australia,2015,23815995
Brazil,2011,197514534
Brazil,2012,199287296
Brazil,2013,201035903
Brazil,2014,202763735
Brazil,2015,204471769
Russia,2011,142960868
Russia,2012,143201676
Russia,2013,143506911
Russia,2014,143819666
Russia,2015,144096870
India,2011,1250288729
India,2012,1265782790
India,2013,1280846129
India,2014,1295604184
India,2015,1310152403
France,2011,65342780
France,2012,65659809
France,2013,65998660
France,2014,66316092
France,2015,66593366
UK,2011,63258918
UK,2012,63700300
UK,2013,64128226
UK,2014,64613160
UK,2015,65128861
Germany,2011,80274983
Germany,2012,80425823
Germany,2013,80645605
Germany,2014,80982500
Germany,2015,81686611
Japan,2011,127833000
Japan,2012,127629000
Japan,2013,127445000
Japan,2014,127276000
Japan,2015,127141000
South Korea,2011,49936638
South Korea,2012,50199853
South Korea,2013,50428893
South Korea,2014,50746659
South Korea,2015,51014947
