Country,ES2011,ES2012,ES2013,ES2014,ES2015,%ES2011,%ES2012,%ES2013,%ES2014,%ES2015,total_GDP2011,total_GDP2012,total_GDP2013,total_GDP2014,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,GDP_PP_2011,ES_PP_2011,GDP_PP_2012,ES_PP_2012,GDP_PP_2013,ES_PP_2013,GDP_PP_2014,ES_PP_2014,Change,Percentage_change_ES,Value_change
US,80781.70579,84698.48136,83225.32137,86947.24905,89852.06289,5.223899841,5.194859982,4.943789959,4.989480019,4.97483,15463,16304,16834,17426,311580009,313874218,316234505,318622525,321039839,4.96E-05,0.000259265,5.19E-05,0.000269848,5.32E-05,0.000263176,5.47E-05,0.000272885,0,0,0
Australia,7510.889367,7522.197064,7649.035193,7411.009171,6606.812578,5.08313,4.87765,5.23801,5.17368,5.32175,1477,1542,1460,1432,22340024,22733465,23128129,23475686,23815995,6.61E-05,0.000336208,6.78E-05,0.000330887,6.31E-05,0.000330724,6.10E-05,0.000315689,-191.9341471,-12.7770586,-84415.63144
Russia,6783.206374,7718.637834,7901.724336,7538.560005,4715.152991,3.57326,3.78973,3.75621,4.00528,3.8334,1898,2036,2103,1882,142960868,143201676,143506911,143819666,144096870,1.33E-05,4.74E-05,1.42E-05,5.39E-05,1.47E-05,5.51E-05,1.31E-05,5.24E-05,-431.6184595,-31.81522393,-150013.6483
Germany,17803.65323,17635.06531,18889.00892,189055.3405,15774.20465,4.8078,4.93331,4.93497,4.92086,4.80518,3703,3574,3827,38419,80274983,80425823,80645605,80982500,81686611,4.61E-05,0.000221783,4.44E-05,0.000219271,4.75E-05,0.000234222,0.000474411,0.002334521,16736.1378,470.0197647,7414187.958
UK,10778.5958,10650.1532,11037.68562,11537.09203,12500.89144,5.6462,5.63894,5.58823,5.66499,5.60939,1908,1888,1975,2036,63258918,63700300,64128226,64613160,65128861,3.02E-05,0.000170389,2.96E-05,0.000167192,3.08E-05,0.000172119,3.15E-05,0.000178556,433.153011,20.09320226,251182.9401
France,15499.46514,14889.82612,15605.0444,15938.37204,13233.86888,5.6462,5.63894,5.58823,5.66499,5.60939,2745,2640,2792,2813,65342780,65659809,65998660,66316092,66593366,4.20E-05,0.000237202,4.02E-05,0.000226772,4.23E-05,0.000236445,4.24E-05,0.000240339,-348.26466,-11.23473155,-148678.9642
India,7246.90762,7304.4699,7593.86403,7857.964932,8792.291494,3.79618,3.8675,3.84467,3.85845,3.94527,1909,1888,1975,2036,1250288729,1265782790,1280846129,1295604184,1310152403,1.53E-06,5.80E-06,1.49E-06,5.77E-06,1.54E-06,5.93E-06,1.57E-06,6.07E-06,0,0,0
Japan,22133.0446,22157.99071,17969.15891,16468.95915,14691.61,3.64258,3.69226,3.66538,3.59059,3.5934,6076,6001,4902,4586,127833000,127629000,127445000,127276000,127141000,4.75E-05,0.00017314,4.70E-05,0.000173613,3.85E-05,0.000140995,3.60E-05,0.000129396,0,0,0
South Korea,5494.92332,5675.449257,6514.971606,7251.725143,7098.435112,4.609835,4.618229866,4.930699825,5.05671978,5.065440178,1192,1228,1321,1434,49936638,50199853,50428893,50746659,51014947,2.39E-05,0.000110038,2.45E-05,0.000113057,2.62E-05,0.000129191,2.83E-05,0.000142901,0,0,0
Brazil,14127.79838,13266.48558,12796.81292,13876.95406,10959.30136,5.73741,5.8551,5.83885,5.94848,6.24106,2462,2265,2191,2332,197514534,199287296,201035903,202763735,204471769,1.25E-05,7.15E-05,1.14E-05,6.66E-05,1.09E-05,6.37E-05,1.15E-05,6.84E-05,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
