Country,Year,Population,Total_GDP,Expenditure,GDP_per_person,HS_per_person
US,2011,311580009,154937.8463,253103.0335,4.97E-04,0.000812321
US,2012,313874218,156001.1024,266842.0953,4.97E-04,0.000850156
US,2013,316234505,157096.1277,274918.4808,4.97E-04,0.00086935
US,2014,318622525,158203.8357,287619.8567,4.97E-04,0.000902698
US,2015,321039839,159324.9821,303713.2253,4.96E-04,0.00094603
Australia,2011,22340024,11108.91298,12643.48352,4.97E-04,0.000565957
Australia,2012,22733465,11298.93887,13400.53107,4.97E-04,0.000589463
Australia,2013,23128129,11489.38351,12812.09375,4.97E-04,0.000553962
Australia,2014,23475686,11656.24926,12970.32441,4.97E-04,0.0005525
Australia,2015,23815995,11819.35236,11583.03286,4.96E-04,0.000486355
Brazil,2011,197514534,98217.0731,24089.88648,4.97E-04,0.000121965
Brazil,2012,199287296,99049.35189,22746.7824,4.97E-04,0.000114141
Brazil,2013,201035903,99868.80427,22439.39936,4.97E-04,0.000111619
Brazil,2014,202763735,100677.1276,25241.09783,4.97E-04,0.000124485
Brazil,2015,204471769,101474.8233,20132.07273,4.96E-04,9.85E-05
Russia,2011,142960868,71089.44207,9076.86063,4.97E-04,6.35E-05
Russia,2012,143201676,71173.79523,10045.11709,4.97E-04,7.01E-05
Russia,2013,143506911,71290.07004,10667.05209,4.97E-04,7.43E-05
Russia,2014,143819666,71409.96326,9732.613337,4.97E-04,6.77E-05
Russia,2015,144096870,71512.09429,6490.811649,4.96E-04,4.50E-05
India,2011,1250288729,621724.8777,6197.267164,4.97E-04,4.96E-06
India,2012,1265782790,629116.6948,6288.082348,4.97E-04,4.97E-06
India,2013,1280846129,636287.1977,7405.772542,4.97E-04,5.78E-06
India,2014,1295604184,643298.999,7371.462355,4.97E-04,5.69E-06
India,2015,1310152403,650199.7037,8017.721361,4.96E-04,6.12E-06
UK,2011,65342780,32492.68026,22069.57985,4.97E-04,0.000337751
UK,2012,65659809,32634.0999,22173.09184,4.97E-04,0.000337697
UK,2013,65998660,32786.21957,26460.72369,4.97E-04,0.000400928
UK,2014,66316092,32927.55313,28774.54799,4.97E-04,0.0004339
UK,2015,66593366,33048.81687,27155.2528,4.96E-04,0.000407777
Germany,2011,63258918,31456.44853,39678.83802,4.97E-04,0.000627245
Germany,2012,63700300,31660.18887,38489.76776,4.97E-04,0.000604232
Germany,2013,64128226,31857.04223,41778.46536,4.97E-04,0.000651483
Germany,2014,64613160,32082.00596,42097.35641,4.97E-04,0.000651529
Germany,2015,65128861,32322.01538,36369.80473,4.96E-04,0.000558428
South Korea,2011,80274983,39917.94281,7512.437663,4.97E-04,9.36E-05
South Korea,2012,80425823,39973.07306,7910.792834,4.97E-04,9.84E-05
South Korea,2013,80645605,40062.39692,8691.640153,4.97E-04,0.000107776
South Korea,2014,80982500,40209.78153,9780.968938,4.97E-04,0.000120779
South Korea,2015,81686611,40539.26104,9878.392067,4.96E-04,0.00012093
Japan,2011,127833000,63566.88215,64509.29978,4.97E-04,0.000504637
Japan,2012,127629000,63433.89662,64756.86846,4.97E-04,0.000507384
Japan,2013,127445000,63310.97864,52904.71111,4.97E-04,0.000415118
Japan,2014,127276000,63195.63059,49683.36401,4.97E-04,0.000390359
Japan,2015,127141000,63097.27047,44449.67885,4.96E-04,0.000349609
France,2011,49936638,24831.74441,31441.82659,4.97E-04,0.000629634
France,2012,50199853,24950.22515,30893.18224,4.97E-04,0.000615404
France,2013,50428893,25051.61103,32462.49637,4.97E-04,0.000643728
France,2014,50746659,25196.95084,33527.48901,4.97E-04,0.000660684
France,2015,51014947,25317.59156,27855.19969,4.96E-04,0.00054602
